Average: 7.14279431531998e-05
ID	Reference	Hypothesis	sms
0	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	this is my go to place for a quick car wash.  the staff is always friendly and helpful.  they have a great selection of vacuums and they are very clean.  i love the fact that they are open late on a saturday night.  it's a great place to get a quick wash.	0.0001788639192020098
1	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	my go - to quick car wash ! i pass 2 other similarly priced washes to get here and its worth it ! for starters they hand out candy at the register ! the car wash itself does a great job , especially compared to any nearby quick wash places , and of course the vacuums are free . once dropped my wallet here , was still there 2 days later with all its contents . awesome friendly staff ! this should be your go to spot !	8.535769341841283e-05
2	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	Great place to go for a car wash. The staff is very friendly and the service is always good. They have a great selection of equipment, and you can't beat the price. If you are in the area, this is the place to go.	0.00016243353405413782
3	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	If you're looking for a quick car wash, this is the place to go! The staff is always friendly and helpful. I've been going here for years and will continue to go back!	7.099681658218265e-05
4	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	love everything about this place . the staff is friendly and friendly . the food is good , staff is very friendly . i can ' t get enough of any other than that , but i won ' t be disappointed . i will definitely come back .	1.8816571932505842e-05
5	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	Great car wash, friendly staff, and open late. Worth the price if you need lots of washes.	0.0001280913793807599
6	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	My go-to quick car wash! I pass 2 other similarly priced washes to get here and its worth it! for starters they hand out candy at the register! the car wash itself does a great job, especially compared to any nearby quick wash places, and of course the vacuums are free.  once dropped my wallet here, was still there 2 days later with all its contents.  awesome friendly staff! this should be your go to spot!	8.923894586822867e-05
7	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	Food is great, the staff is friendly and helpful! I was in the area for a week and this place is always packed. They offer a large car wash!	8.809302538964487e-05
8	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	this is a great car wash location. the staff is very friendly and the facility is very clean. the service is quick and the quality of the wash is great. i have been going to this location for a few years now and i have never had a bad experience. the staff are quick and very friendly. the wash	6.437455433941525e-05
9	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	the wash business but overall experience is always pleasant , friendly and i continue to return .	0.00017790020087145165
10	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	this is a great place to get your car washed. the staff is very friendly and helpful. the car wash is very clean and the price is very reasonable. i would definitely recommend this place to my friends and family.	0.00011555549596953341
11	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	this is a great place to go for a quick bite to eat. the staff is very friendly and helpful. they have a lot of options to choose from and the prices are very reasonable. i would recommend this place if you're in the area and want a good car wash.	0.00013798076547704674
12	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	You will get a lot of things and they have the same price. I am always glad I found this place to this place. You are looking for a quick bite. The shop is very clean and the staff is friendly. But the price is great.	6.971523726848954e-05
13	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	i love this place. the staff is very friendly and helpful. the car wash itself does a great job, especially compared to any nearby quick wash places. i pass 2 other similar priced washes to get here and its worth it!	8.593876638826381e-05
14	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	this place is great!  i've been coming here for years and i've never had a bad experience.  the staff is always friendly and the prices are very reasonable.  they have a great selection of gel colors and they are very accommodating to my needs.  i love the fact that they have an appointment system and i don't have to make an appointment.  it's a great place to get your nails done.	9.44033644091925e-05
15	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	victoria is my favorite :) she fixed a situation with the other nail tech because she wasn ' t filing my nails properly - she did my pedi great though . anyways i used to go to polished nails and pay too much just because they had a lot of gel color selections i like . but now that i ' ve found lovely nails they have all the same beautiful unique colors and it ' s reasonably priced ! not to mention i don ' t really need to make an appointment and the management here solves issues better . my new fav nail place . been in vegas 11 years and i ' ve tried many places . this one is great :)	0.00012172011161942554
16	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	This place is a great place to go for your nails. They have a great selection of colors and the prices are very reasonable. The staff is friendly and they do a great job on your nails and you will not be disappointed.	0.00023513931855396311
17	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	This place is the best place to get your nails done. I came in to get my nails done and they did a great job on my mani and pedi. Highly recommend!	0.00010062208860135648
18	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	this is a great family owned business . the service is fantastic , fast , and friendly . i didn ' t know if i was willing to wait to get a mani .	1.9527197583420824e-05
19	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	Lovely Nails is a great, family owned nail salon in Las Vegas. They offer great service, fast and cheap compared to other salons. The staff are friendly and accommodating. Highly recommend for anyone looking for a mani/pedi on the go!	5.52582699684128e-05
20	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	Victoria is my favorite:) she fixed a situation with the other nail tech because she wasn't filing my nails properly - she did my pedi great though . Anyways I used to go to polished nails and pay too much just because they had a lot of gel color selections I like . BUT now that I've found lovely nails they have all the same beautiful unique colors and it's reasonably priced ! Not to mention I don't really need to make an appointment and the management here solves issues better . My new fav nail place . Been in Vegas 11 years and I've tried many places . This one is great :)	0.00016112674244307587
21	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	Place is super clean and neat. My nail tech was great she was very friendly and accommodating. I had a few different things on the menu but they did a great job of putting my nails in the right place.. I will be back for sure!! Thanks for the great service & atmosphere.	5.7535289488804724e-05
