Average: 0.051216680768157885
ID	Reference	Hypothesis	sms
0	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	this is my go to place for a quick car wash.  the staff is always friendly and helpful.  they have a great selection of vacuums and they are very clean.  i love the fact that they are open late on a saturday night.  it's a great place to get a quick wash.	0.0689864416763181
1	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	my go - to quick car wash ! i pass 2 other similarly priced washes to get here and its worth it ! for starters they hand out candy at the register ! the car wash itself does a great job , especially compared to any nearby quick wash places , and of course the vacuums are free . once dropped my wallet here , was still there 2 days later with all its contents . awesome friendly staff ! this should be your go to spot !	0.055661976485504104
2	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	Great place to go for a car wash. The staff is very friendly and the service is always good. They have a great selection of equipment, and you can't beat the price. If you are in the area, this is the place to go.	0.07152907954350325
3	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	If you're looking for a quick car wash, this is the place to go! The staff is always friendly and helpful. I've been going here for years and will continue to go back!	0.05732750831211218
4	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	love everything about this place . the staff is friendly and friendly . the food is good , staff is very friendly . i can ' t get enough of any other than that , but i won ' t be disappointed . i will definitely come back .	0.039496129435120125
5	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	Great car wash, friendly staff, and open late. Worth the price if you need lots of washes.	0.08056869953427903
6	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	My go-to quick car wash! I pass 2 other similarly priced washes to get here and its worth it! for starters they hand out candy at the register! the car wash itself does a great job, especially compared to any nearby quick wash places, and of course the vacuums are free.  once dropped my wallet here, was still there 2 days later with all its contents.  awesome friendly staff! this should be your go to spot!	0.055661976485504104
7	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	Food is great, the staff is friendly and helpful! I was in the area for a week and this place is always packed. They offer a large car wash!	0.048171126994765744
8	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	this is a great car wash location. the staff is very friendly and the facility is very clean. the service is quick and the quality of the wash is great. i have been going to this location for a few years now and i have never had a bad experience. the staff are quick and very friendly. the wash	0.05472423168924495
9	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	the wash business but overall experience is always pleasant , friendly and i continue to return .	0.09156867809283283
10	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	this is a great place to get your car washed. the staff is very friendly and helpful. the car wash is very clean and the price is very reasonable. i would definitely recommend this place to my friends and family.	0.06153265525114303
11	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	this is a great place to go for a quick bite to eat. the staff is very friendly and helpful. they have a lot of options to choose from and the prices are very reasonable. i would recommend this place if you're in the area and want a good car wash.	0.0700944919477463
12	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	You will get a lot of things and they have the same price. I am always glad I found this place to this place. You are looking for a quick bite. The shop is very clean and the staff is friendly. But the price is great.	0.057708285100086104
13	They offer the best service for the price. The owner is a really nice guy who listens to your needs and will take care of any issues you have. Overall a great environment and service you can trust to get your car looking clean and beautiful again.	i love this place. the staff is very friendly and helpful. the car wash itself does a great job, especially compared to any nearby quick wash places. i pass 2 other similar priced washes to get here and its worth it!	0.06067066540000613
14	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	this place is great!  i've been coming here for years and i've never had a bad experience.  the staff is always friendly and the prices are very reasonable.  they have a great selection of gel colors and they are very accommodating to my needs.  i love the fact that they have an appointment system and i don't have to make an appointment.  it's a great place to get your nails done.	0.07632513645285117
15	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	victoria is my favorite :) she fixed a situation with the other nail tech because she wasn ' t filing my nails properly - she did my pedi great though . anyways i used to go to polished nails and pay too much just because they had a lot of gel color selections i like . but now that i ' ve found lovely nails they have all the same beautiful unique colors and it ' s reasonably priced ! not to mention i don ' t really need to make an appointment and the management here solves issues better . my new fav nail place . been in vegas 11 years and i ' ve tried many places . this one is great :)	0.08454562147791768
16	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	This place is a great place to go for your nails. They have a great selection of colors and the prices are very reasonable. The staff is friendly and they do a great job on your nails and you will not be disappointed.	0.09593865000076335
17	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	This place is the best place to get your nails done. I came in to get my nails done and they did a great job on my mani and pedi. Highly recommend!	0.06854830835403546
18	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	this is a great family owned business . the service is fantastic , fast , and friendly . i didn ' t know if i was willing to wait to get a mani .	0.03862528844861908
19	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	Lovely Nails is a great, family owned nail salon in Las Vegas. They offer great service, fast and cheap compared to other salons. The staff are friendly and accommodating. Highly recommend for anyone looking for a mani/pedi on the go!	0.05313435800077976
20	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	Victoria is my favorite:) she fixed a situation with the other nail tech because she wasn't filing my nails properly - she did my pedi great though . Anyways I used to go to polished nails and pay too much just because they had a lot of gel color selections I like . BUT now that I've found lovely nails they have all the same beautiful unique colors and it's reasonably priced ! Not to mention I don't really need to make an appointment and the management here solves issues better . My new fav nail place . Been in Vegas 11 years and I've tried many places . This one is great :)	0.08454562147791768
21	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	Place is super clean and neat. My nail tech was great she was very friendly and accommodating. I had a few different things on the menu but they did a great job of putting my nails in the right place.. I will be back for sure!! Thanks for the great service & atmosphere.	0.06849730389874337
22	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	this place is a great family owned salon. the staff is friendly, the service is great and the prices are reasonable. they have a unique selection of colors to choose from. the owner is a lovely guy.	0.043055682925027386
23	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	way to vegas and they were able to see both me and my husband same day .	0.05708022968525191
24	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	i've been going to lovely nails for years now and i've never had a bad experience. the staff is always friendly and the prices are reasonable. i've never had a bad experience here.	0.0735332541203402
